dish_name,normalized_name,source_site,source_url,source_type,rating,review_count,recipe_count,quality_filter,note
ガーリックシュリンプ,ガーリックシュリンプ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-312-2107/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
天ぷら,天ぷら,楽天レシピ,https://recipe.rakuten.co.jp/category/30-313/,category_with_recipe_count,,,8387,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
揚げ物,揚げ物,楽天レシピ,https://recipe.rakuten.co.jp/category/30-314/,category_with_recipe_count,,,20197,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
かき揚げ,かき揚げ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-314-1217/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
エビフライ,エビフライ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-314-1224/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
メンチカツ,メンチカツ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-314-1218/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
チキンカツ,チキンカツ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-314-1219/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
カツレツ,カツレツ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-314-1220/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
串カツ,串カツ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-314-1221/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
竜田揚げ,たつたあげ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-314-1222/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
フライ,フライ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-314-1223/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
アジフライ,アジフライ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-314-1225/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
フライドチキン,フライドチキン,楽天レシピ,https://recipe.rakuten.co.jp/category/30-314-1226/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
チキンナゲット,チキンナゲット,楽天レシピ,https://recipe.rakuten.co.jp/category/30-314-1227/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
その他の揚げ物,その他の揚げ物,楽天レシピ,https://recipe.rakuten.co.jp/category/30-314-1228/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
とり天,とり天,楽天レシピ,https://recipe.rakuten.co.jp/category/30-314-2108/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
豆腐料理,豆腐料理,楽天レシピ,https://recipe.rakuten.co.jp/category/30-315/,category_with_recipe_count,,,15106,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
豆腐ステーキ,豆腐ステーキ,楽天レシピ,https://recipe.rakuten.co.jp/category/30-315-1229/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
揚げ出し豆腐,揚げ出し豆腐,楽天レシピ,https://recipe.rakuten.co.jp/category/30-315-1230/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
炒り豆腐,炒り豆腐,楽天レシピ,https://recipe.rakuten.co.jp/category/30-315-1231/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
冷奴,冷や奴,楽天レシピ,https://recipe.rakuten.co.jp/category/30-315-1232/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
肉豆腐,肉豆腐,楽天レシピ,https://recipe.rakuten.co.jp/category/30-315-1233/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
卯の花,卯の花,楽天レシピ,https://recipe.rakuten.co.jp/category/30-315-2109/,category_with_recipe_count,,,,カテゴリ掲載数5品以上,カテゴリ掲載数5品以上
